Major,Major_Category
TREATMENT THERAPY PROFESSIONS,Health
COMMUNITY AND PUBLIC HEALTH,Health
MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health
AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts
FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts
OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts
ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts
COMPOSITION AND RHETORIC,Humanities & Liberal Arts
LIBERAL ARTS,Humanities & Liberal Arts
HUMANITIES,Humanities & Liberal Arts
INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts
PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts
THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts
ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts
ART HISTORY AND CRITICISM,Humanities & Liberal Arts
HISTORY,Humanities & Liberal Arts
UNITED STATES HISTORY,Humanities & Liberal Arts
COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services
MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services
PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services
CONSTRUCTION SERVICES,Industrial Arts & Consumer Services
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services
TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services
MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary
COURT REPORTING,Law & Public Policy
PRE-LAW AND LEGAL STUDIES,Law & Public Policy
CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy
PUBLIC ADMINISTRATION,Law & Public Policy
PUBLIC POLICY,Law & Public Policy
N/A (less than bachelor's degree),
PHYSICAL SCIENCES,Physical Sciences
ASTRONOMY AND ASTROPHYSICS,Physical Sciences
ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences
CHEMISTRY,Physical Sciences
GEOLOGY AND EARTH SCIENCE,Physical Sciences
GEOSCIENCES,Physical Sciences
OCEANOGRAPHY,Physical Sciences
PHYSICS,Physical Sciences
MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences
PSYCHOLOGY,Psychology & Social Work
EDUCATIONAL PSYCHOLOGY,Psychology & Social Work
CLINICAL PSYCHOLOGY,Psychology & Social Work
COUNSELING PSYCHOLOGY,Psychology & Social Work
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work
SOCIAL PSYCHOLOGY,Psychology & Social Work
MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work
HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work
SOCIAL WORK,Psychology & Social Work
INTERDISCIPLINARY SOCIAL SCIENCES,Social Science
GENERAL SOCIAL SCIENCES,Social Science
ECONOMICS,Social Science
CRIMINOLOGY,Social Science
GEOGRAPHY,Social Science
INTERNATIONAL RELATIONS,Social Science
POLITICAL SCIENCE AND GOVERNMENT,Social Science
SOCIOLOGY,Social Science
MISCELLANEOUS SOCIAL SCIENCES,Social Science
